push_tag,push_userid,push_content,push_time,URL
推,Whitening,已哭QQ原PO保重,07/08 09:56,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,qcdfg,qq 我昨天買進...,07/08 09:57,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,snowlakers,這是......反指標??,07/08 09:57,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,fantasywing,那你之前貼說要買都有買嗎?,07/08 09:58,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,chuchnoot,不敢買..,07/08 09:59,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
噓,TWWalking,.......別推台灣人下火坑,07/08 09:59,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,mystage,我剛九點開盤停損,07/08 10:00,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,morke,等停牌的開還會跌一波 到時候才是買點,07/08 10:01,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
噓,manson666,呵呵,07/08 10:02,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,manson666,沒對帳單 別喇叭,07/08 10:03,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,Jeff1989,如果大媽可以用技術分析來判斷的話 她就不是大媽了,07/08 10:05,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,Aquari,大媽正被凌遲中...你確定全力買進?,07/08 10:10,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,dahlia7357,確實 每天深V當沖 不留倉沒有風險問題,07/08 10:13,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,dahlia7357,因為沒有跌停板 所以不存在流動性問題lol,07/08 10:13,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,Sylph,在這種國家堅定跟著政府做就對了,07/08 10:13,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,ddardlekwn,我記得我昨天有提醒你 加油 等你虧損對帳單,07/08 10:20,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,shingostrong,把大媽月線拿出來看.跟技術分析..一點都沒有違背,07/08 10:21,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,shingostrong,電梯向下很明顯,07/08 10:21,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,dahlia7357,建議當沖啦 一定有拉盤 但是別留倉啦,07/08 10:23,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
推,sexy5566sexy,昨天也有一篇一樣的文，被刪了，你先跳吧,07/08 10:24,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
噓,johnny1976,http://imgur.com/GnDjEgd  歡迎對作!,07/08 10:52,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,ww,要賭當然要壓身家 不然漲一倍只夠吃牛排何必賭,07/08 10:55,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
噓,ifte94wt,笑死人 沒買就沒買，還在懶得貼勒,07/08 10:59,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,Sirius1812,不停損將以#1Lcg2xbx公告砍文處份 給你10分鐘,07/08 11:35,https://www.ptt.cc/bbs/Stock/M.1436327384.A.109.html
→,zeroxod,放空標,07/08 15:33,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
噓,oca,感覺就像是不發文手會癢,07/08 15:34,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,Bokolo,好    3022如何,07/08 15:34,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,eiw123,就台GG阿 賭法說有好消息..,07/08 15:34,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,KY1998,大立光 如何~,07/08 15:34,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,u770114,龍岩阿,07/08 15:35,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,Ting1024,"盡量挑容易賺到手的。我推8086, 你們呢？",07/08 15:35,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,omnistone,2108,07/08 15:35,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,selient,神股2330,07/08 15:35,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,jganet,花生什麼事,07/01 00:12,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,Taose,個人覺得他很有料。,07/01 00:17,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,femlro,出書就賺翻了 成績多少重要嗎?XD,07/01 00:36,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,drwhmsjustdo,他去年月KD向下喊空被嘎，這次第三次月KD高檔頓化,07/01 00:39,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,drwhmsjustdo,結束向下喊浪來了,07/01 00:39,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,choger,萬法皆方法 得真傳者賺錢,07/01 00:44,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,mqqm,股神表示，我手上有20個帳戶，你看到只是一個帳戶,07/01 00:44,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,choger,不得真傳者 用了一萬種方法還是賠錢 這是我最近悟的,07/01 00:44,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,mqqm,一個帳戶對於A股作多，同時另一個帳戶對A股作空...,07/01 00:44,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,choger,找適合自己的最重要,07/01 00:46,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,Sergeant,那...他有幾個學生??,07/01 01:05,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,wwf1310,5萬個學生?...XDDD?,07/01 01:31,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,rodal,"老頭的現在本業是上課賣書,他不炒股很久了",07/01 07:27,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,Ting1024,老頭921家裡被震垮，靠著開課終於重新站起來了,07/01 09:39,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,HUUUU,賣書才是他的本業吧..在書店翻過他的書跟神一樣,07/01 09:55,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,HUUUU,跟小朋友的書一樣，看圖說故事,07/01 09:55,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,Ting1024,嗚嗚...很認真討論還被砍文 ~_~,07/08 15:41,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,Ting1024,都是帶給版上股票的資訊阿...~_~,07/08 15:41,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,Sirius1812,那應該要用標的文格式發文 因為你不是第一次被提醒,07/08 15:42,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,Sirius1812,所以這一次就不給十你10分鐘了,07/08 15:42,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,Ting1024,因為有多重標的，很難用標準格式，但已經把標題改,07/08 15:44,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
→,Ting1024,應該OK吧。用請益也不太對阿。裡面會提到標的,07/08 15:44,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
噓,S0KE,不知所云,07/08 15:44,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,jason751231,版主GJ,07/08 15:51,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,kl015013,婷姐你選股不選市喔?  我怎麼看續崩.......Q_Q,07/08 15:55,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,iso2288,版主GJ,07/08 16:04,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,askaa,板歸也是要遵守der ok?,07/08 16:18,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,Ting1024,續崩沒錯，空手奪白任讚,07/08 16:22,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,iuakob,婷姊哭哭~,07/08 16:55,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
噓,clotmen,廢文王，好棒棒der,07/08 18:40,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,adult,Ting1024是版主?,07/08 23:59,https://www.ptt.cc/bbs/Stock/M.1436341154.A.8C6.html
推,paul18012,召喚....,07/08 16:43,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
推,web1379,5元收,07/08 16:43,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
推,yoyodio,哥有家傳的14206股，不知道均價,07/08 16:47,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
推,web1379,我一直在等國巨重回10元…不喜歡國巨老闆^^,07/08 16:52,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
→,Sirius1812,一行文 給你十分鐘 我砍的話水捅一週,07/08 17:07,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
推,fangchieh,很想買先買資金的10% 5元是歷史低點到了再買30%,07/08 17:09,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
→,fangchieh,然後睡半年 一年也有20%利潤,07/08 17:09,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
推,globekiller,十分鐘到了,07/08 17:18,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
→,dk04,給新人機會！換一次警告？,07/08 17:21,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
→,dk04,我承認我來亂的 XD ，海豚大請執行！,07/08 17:21,https://www.ptt.cc/bbs/Stock/M.1436347978.A.836.html
推,wintree,路過見神一定要推一下,06/20 21:59,https://www.ptt.cc/bbs/Stock/M.1436412480.A.8FA.html
噓,koes2005,樓上帥哥，qe 令人擔心,06/20 22:11,https://www.ptt.cc/bbs/Stock/M.1436412480.A.8FA.html
推,wintree,路過見神一定要推一下,06/20 21:59,https://www.ptt.cc/bbs/Stock/M.1436412480.A.8FA.html
